a.1.1	better user experience, easier to use, more accurate scanning
a.1.2	better user experience, easier to use, easy to see
a.1.3	better user experience, easier to use, easy to reach
a.1.4	better user experience, easier to use, card convenient and likely to be carried
a.3.1	better user experience, all in 1 card, combine ID card and session card
a.3.2	better user experience, all in 1 card, combine Library card
a.3.3	better user experience, all in 1 card, combine Bloomsbury fitness card
a.3.4	better user experience, all in 1 card, combine Club and societies card
a.3.5	better user experience, all in 1 card, be compatible with NHS
a.3.6	better user experience, all in 1 card, the combine card should not have too many features (don't want it to become too valuable to change for locker keys)
b.1.1	card design, card to include user details, card to include name
b.1.2	card design, card to include user details, card to include photo
b.1.3	card design, card to include user details, card to include UPI
b.1.4	card design, card to include user details, card design to include card type/user status
b.1.5	card design, card to include user details, card to include payroll number
b.1.6	card design, card to include user details, card to include job title
b.1.7	card design, card to include user details, card to include expiry date
b.1.8	card design, card to include user details, card to include department
b.1.9	card design, card to include user details, card to include student number
b.2.1	card design, card to include barcode, Easier reading of barcode by scanner
b.3.1	card design, card should be secure, card not easily copied
b.3.2	card design, card should be secure, card should have features that prevent sharing
b.3.3	card design, card should be secure, card to include pin
b.3.4	card design, card should be secure, card should have multiple security feature
b.6.1	card design, card should be sturdy/robust, card should lasts for 5 or more years
c	to improve security and access control in UCL, enable visual checking, 
c.1	ensure appropriate access for each individual
c.1.1	to improve security and access control in UCL, must stop at the end of the last day of service
c.1.2	to improve security and access control in UCL, must work until the last day of service
c.2	control access to ucl buildings, 
c.2.1	to improve security and access control in UCL, control access to ucl buildings, control access to departments
c.2.2	to improve security and access control in UCL, control access to ucl buildings, control access to library
c.2.3	to improve security and access control in UCL, control access to ucl buildings, control access to Bloomsbury
c.2.4	to improve security and access control in UCL, control access to ucl buildings, to access Kathleen Lonsdale
c.2.5	to improve security and access control in UCL, control access to ucl buildings, control access to departmental offices
c.2.6	to improve security and access control in UCL, control access to ucl buildings, control access to private offices
c.2.7	to improve security and access control in UCL, control access to ucl buildings, control access to high hazard area
