Word,Score
require,0.001820554
process,0.001820554
user,0.001845597
new,0.00187098
support,0.00187098
update,0.001949272
able,0.002059049
high,0.002087533
group,0.002175691
case,0.002206028
development,0.002236866
work,0.002268223
operation,0.002268223
multiple,0.002300115
environment,0.002300115
issue,0.002332563
hardware,0.002332563
status,0.002365584
present,0.002399201
network,0.002399201
point,0.002433434
run,0.002468308
modify,0.002503845
open,0.002503845
enter,0.002577018
ensure,0.00261471
item,0.002653179
minimum,0.002653179
area,0.002692458
check,0.002692458
method,0.002692458
server,0.002692458
unique,0.002732581
quality,0.002732581
maintenance,0.002732581
want,0.002773586
real,0.002773586
clear,0.002815513
handle,0.002815513
storage,0.002815513
rule,0.002815513
directly,0.002858404
key,0.002902304
easily,0.002902304
event,0.002902304
approach,0.002947263
business,0.002993331
architecture,0.002993331
online,0.003089027
continue,0.003138782
solution,0.003242457
close,0.003352234
safety,0.003352234
people,0.003352234
requirement,0.003400292
backup,0.003409644
fail,0.003409644
title,0.003468876
policy,0.003468876
prevent,0.003530051
dependent,0.003530051
power,0.003530051
working,0.003530051
name,0.0035933
mark,0.0035933
restrict,0.0035933
date,0.003641107
interface,0.003641107
fast,0.003658769
production,0.003658769
reduce,0.003658769
map,0.003658769
number,0.003691193
private,0.003726619
design,0.003793428
likely,0.00379703
reading,0.00379703
end,0.003845615
switch,0.003870203
reach,0.003946364
session,0.003946364
stop,0.003946364
room,0.003946364
activate,0.003946364
accurate,0.004025766
grant,0.004025766
existing,0.004025766
view,0.004232917
job,0.004286516
limitation,0.004286516
safe,0.004286516
security,0.004291679
computer,0.004473732
see,0.004483084
sharing,0.004483084
reliable,0.004483084
service,0.004536445
install,0.004589723
identity,0.004589723
health,0.004702829
building,0.004823236
enable,0.004936615
distance,0.004951954
society,0.005090215
checking,0.005090215
preparation,0.005090215
budget,0.005090215
interruption,0.005090215
cluster,0.005239549
arrangement,0.005239549
technical,0.005306358
valuable,0.005401883
hazard,0.005401883
software,0.00553679
scanning,0.005776269
authorised,0.005776269
bank,0.005776269
standby,0.005776269
right,0.005986662
firewall,0.005996014
standard,0.006010059
role,0.006178055
failure,0.006178055
queuing,0.006245139
membership,0.006245139
door,0.006245139
secure,0.006277563
scanner,0.006532734
pin,0.006532734
exam,0.006532734
reminder,0.006532734
registry,0.006532734
machine,0.006593076
time,0.006707878
document,0.006800584
feature,0.006804668
department,0.006819287
convenient,0.006872886
expiry,0.006872886
easier,0.006872886
departmental,0.006872886
clocking,0.006872886
appointment,0.006872886
lost,0.006872886
legislation,0.006872886
antivirus,0.006872886
office,0.007060102
visual,0.007060102
change,0.007282214
ucl,0.007289199
shop,0.007289199
cabling,0.007289199
fitness,0.007825919
venue,0.007825919
cardholder,0.007825919
attendance,0.007825919
cheap,0.007825919
duplicated,0.007825919
photocopy,0.007825919
thumb,0.007825919
documented,0.007825919
constrained,0.007825919
tracking,0.007892728
import,0.008217397
virtual,0.008217397
easy,0.008320759
day,0.00844654
technology,0.00844654
carried,0.008582384
club,0.008582384
locker,0.008582384
typeuser,0.008582384
payroll,0.008582384
copied,0.008582384
kathleen,0.008582384
lonsdale,0.008582384
alumnus,0.008582384
inactivate,0.008582384
rolebased,0.008582384
longer,0.008582384
mrm,0.008582384
reusablerecyclable,0.008582384
including,0.008582384
portico,0.008582384
leaver,0.008582384
updatedelete,0.008582384
used,0.008582384
cashless,0.008582384
vending,0.008582384
oyster,0.008582384
environme,0.008582384
landswitch,0.008582384
year,0.009569697
printer,0.009646472
compatible,0.009889614
staff,0.010406628
reader,0.010590154
smart,0.011159402
management,0.01169563
export,0.012077298
system,0.012521754
movement,0.013449252
include,0.015436506
bloomsbury,0.015651838
trackinglogs,0.015651838
student,0.015718647
control,0.017785046
photo,0.017988041
data,0.019228077
barcode,0.019598202
combine,0.021559802
library,0.021971471
upi,0.027491544
access,0.029301434
card,0.092997132
