Word,Score
system,0.227961705
user,0.177887127
requirement,0.136777901
datum,0.122974068
information,0.072755786
interface,0.067561523
provide,0.067462533
use,0.065662461
software,0.059482534
time,0.055387296
document,0.05424935
support,0.043544476
application,0.043007061
file,0.042898736
service,0.041887795
product,0.041446737
description,0.040172475
number,0.038578031
include,0.037570586
message,0.037061528
case,0.036308221
allow,0.035586229
control,0.034825781
project,0.034103414
section,0.033479517
request,0.033335554
type,0.03215975
new,0.032055426
access,0.031910869
display,0.031553038
level,0.031369855
process,0.031217133
list,0.031098302
able,0.03102159
select,0.030946707
functional,0.030745971
specification,0.030742522
function,0.028743449
report,0.028130019
change,0.028116448
date,0.028090137
management,0.027786885
design,0.02688945
customer,0.026363285
status,0.026360935
require,0.026161085
set,0.025815497
group,0.025482613
page,0.025256107
need,0.025158111
output,0.025115947
item,0.025073073
search,0.02492819
network,0.02492118
version,0.024861685
create,0.024618124
base,0.024206734
view,0.024195771
input,0.023986175
priority,0.023113171
game,0.022972346
feature,0.022828574
define,0.022742794
standard,0.022545769
available,0.022208912
value,0.021983338
content,0.021957178
operation,0.021871925
database,0.021161814
web,0.021030108
specific,0.020954002
tool,0.020860205
table,0.020817935
model,0.020270803
job,0.019937955
describe,0.019884612
delete,0.019846035
end,0.019658098
add,0.019558371
send,0.019495958
reference,0.019432873
source,0.019349667
ability,0.019297749
computer,0.019282688
result,0.018940686
data,0.018923793
detail,0.018858652
start,0.01882939
format,0.018144968
following,0.018117987
action,0.01801718
communication,0.018011362
state,0.017785084
device,0.017717765
high,0.017657192
hardware,0.017435117
administrator,0.017416164
link,0.017403202
order,0.017377487
unit,0.017327508
receive,0.017282865
run,0.017255651
code,0.017181984
program,0.016864079
update,0.016858728
specify,0.016786763
log,0.016722331
test,0.016683596
error,0.016619955
issue,0.016540864
location,0.016459249
component,0.01639383
account,0.016334824
actor,0.016239959
development,0.016089737
processing,0.016087262
contain,0.016084701
object,0.015894988
current,0.015894572
point,0.015640899
command,0.01560258
identify,0.015435748
security,0.015320382
record,0.015281234
store,0.015070447
follow,0.014877413
module,0.014799205
resource,0.014747545
field,0.014617475
condition,0.014576574
purpose,0.014508132
window,0.014215592
attribute,0.014115496
site,0.0140655
generate,0.014026362
performance,0.013895122
external,0.013766226
relate,0.013755423
server,0.013743505
req,0.013726102
perform,0.01364028
exist,0.013610905
open,0.013553608
general,0.013500148
click,0.013403665
definition,0.013320237
functionality,0.013275028
configuration,0.013225256
capability,0.01311547
response,0.013023431
figure,0.012832172
train,0.012815318
parameter,0.012544576
environment,0.012473382
event,0.012452727
archive,0.012390413
member,0.012206654
etc,0.012196355
note,0.012176141
element,0.01207872
constraint,0.012074484
clarus,0.012071688
option,0.012049333
main,0.012024396
give,0.012017252
determine,0.01195005
block,0.011935857
work,0.011930919
architecture,0.011867834
possible,0.011816968
different,0.011807591
category,0.011723812
screen,0.011658564
password,0.011490438
form,0.011335641
manage,0.011308051
mode,0.011295363
example,0.011258873
temperature,0.01122063
goal,0.011190155
introduction,0.011127551
client,0.011124279
scope,0.011123995
associate,0.011093753
help,0.011072293
address,0.011012087
task,0.010998005
line,0.010858453
basic,0.010799124
flow,0.010612782
text,0.010603959
inventory,0.010571425
edit,0.010484435
develop,0.010311134
complete,0.010236387
save,0.010169222
button,0.010160549
term,0.010150238
appendix,0.010078535
menu,0.010028938
quality,0.010004401
context,0.009944077
power,0.009889764
business,0.009882573
day,0.009880201
monitor,0.009822781
team,0.009804325
real,0.009799917
diagram,0.009742587
plan,0.009714011
library,0.009690033
maintain,0.009675937
tcs,0.00964041
check,0.009524447
mail,0.009411826
video,0.009394109
driver,0.009350582
multiple,0.009329866
implement,0.00931874
non,0.0092826
operational,0.009245355
identifier,0.009223882
submit,0.009211357
provider,0.00917001
agent,0.009158406
http,0.009135101
radio,0.009113708
find,0.009054263
instruction,0.008974262
player,0.008960977
single,0.008896777
call,0.008895051
enter,0.008889061
show,0.008833188
policy,0.008825152
sequence,0.00881526
metadata,0.00879934
second,0.008743576
entity,0.008738725
enable,0.008661086
contact,0.008657368
review,0.008656272
operator,0.008630146
schedule,0.008566563
present,0.008499072
release,0.008490218
implementation,0.008437917
operating,0.008429831
language,0.008421056
package,0.008415433
local,0.008409006
student,0.008392443
staff,0.008383359
capable,0.008323262
individual,0.008278245
manager,0.00824702
internet,0.008146784
refer,0.00810121
srs,0.00807126
step,0.008066513
gui,0.008051155
class,0.007990051
color,0.00797108
grid,0.007886265
home,0.007878905
documentation,0.007868692
admin,0.007859638
way,0.007853763
apply,0.007799354
choose,0.007785536
analysis,0.007774264
query,0.007769066
environmental,0.007717837
area,0.007687734
