,a.1.1,a.1.2,a.1.3,a.1.4,a.3.1,a.3.2,a.3.3,a.3.4,a.3.5,a.3.6,b.1.1,b.1.2,b.1.3,b.1.4,b.1.5,b.1.6,b.1.7,b.1.8,b.1.9,b.2.1,b.3.1,b.3.2,b.3.3,b.3.4,b.6.1,c,c.1,c.1.1,c.1.2,c.2,c.2.1,c.2.2,c.2.3,c.2.4,c.2.5,c.2.6,c.2.7,c.2.8,c.2.9,c.2.10,c.3.1,c.3.2,c.4.1,c.4.2,c.4.3,c.4.4,c.4.5,c.4.6,c.5.1,d.1.1,d.1.2,d.2.1,d.2.2,d.2.3,d.4.1,d.5.1,d.5.2,d.5.3,d.5.4,d.5.5,e.1.1,e.1.2,e.1.3,f.2.1,f.2.2,f.4.1,f.6.1,f.6.2,f.6.3,g.1.1,g.1.2,g.2.1,g.2.2,g.2.3,g.3.1,g.3.2,g.4.1,g.4.2,g.4.3,g.4.4,g.4.5,h.2.1,h.2.2,h.2.3,h.2.4,h.5.1,i.1.1,i.1.2,i.1.3,i.1.4,i.2.1,i.2.2,i.2.3,i.2.4,i.2.5,i.2.6,i.3.1,i.3.2,i.3.3,i.3.4,i.3.5,i.3.6,j.1.1,j.1.2,j.2.1,j.2.2,j.2.3,j.2.4,j.3.1,j.3.2,j.3.3,j.3.4,j.4.1,j.5.1,j.5.2,j.5.3,j.5.4,j.5.5,j.6.1,j.6.2,j.6.3,j.6.4,j.7.1,j.7.2
a.1.1,1.0,0.9175157947671512,0.9127260980811062,0.9140698133615799,0.6623575344123532,0.7004022741008724,0.6739919387662682,0.634489107542538,0.725964955609259,0.7709899382397611,0.6344965131993195,0.6320609925190523,0.6024175590238192,0.6549013310845214,0.6511481912476774,0.6486069930206387,0.6207765348355924,0.6474486542599189,0.6640443784570385,0.6643288497175359,0.6343152509333332,0.6510559144131772,0.5500548635739899,0.6308177825806139,0.39931142673445624,0.6624335893319986,0.7043821680953609,0.5153665321090176,0.5638055225158121,0.3304746714489185,0.47107247604784314,0.4774566223939655,0.4291903130952995,0.40904210709508354,0.43502326698668115,0.4648305653319694,0.5039145655221655,0.5527378272308469,0.5119720376505942,0.5270379647468403,0.7549253054289753,0.7116805016286274,0.5588895770141579,0.510447412754457,0.5984816287695895,0.6096184435178492,0.5766171911977774,0.5337561884988857,0.6871227559904858,0.7310280738456829,0.7150580688715501,0.6808005585510915,0.7369024053749552,0.6734954071115816,0.6306800138544557,0.7520554371009651,0.6613897443761236,0.6718606377645825,0.6913912354992391,0.5060153034958638,0.6403214736833814,0.5367141018575209,0.5055560352253003,0.5542525779179419,0.571405842275615,0.5568102331600507,0.5425555193566529,0.5012572277887749,0.6423105390548184,0.8375725526611257,0.808925356328172,0.7476535382200363,0.7664053664915542,0.7354521896969564,0.7590253356334755,0.7418989902504528,0.8814810443692294,0.8563537684595546,0.8527999936052741,0.8673080278906439,0.843633553761336,0.6044260201630173,0.662417602517359,0.6060456255461305,0.5602760805338138,0.7033410267919618,0.4860301394949495,0.6529677493638922,0.6677421521931823,0.6123039932770743,0.6548050575463613,0.5806647940542685,0.5879671242911949,0.5999477137121202,0.6675346762531914,0.5298810316503078,0.48476341953498236,0.4977376600158187,0.5119529945331559,0.4290169266865252,0.4209623933107876,0.4538219977511489,0.67858873572567,0.658501890881644,0.5440196059473537,0.5917832709857358,0.5550092479608436,0.5314891171228717,0.6997960681957546,0.7019879075028767,0.6955572113141273,0.6361078900748977,0.3684237253498159,0.5141761021689112,0.773593790674174,0.6644065503386883,0.6444713451335226,0.6553714139649881,0.7162215798370062,0.6579675080922963,0.703918432920707,0.7369615330790998,0.33885305537121413,0.4158824654089706
a.1.2,0.9175157947671512,1.0,0.9840167118637034,0.9547898759499591,0.7318793717252376,0.773884021889946,0.7563945642244123,0.760388564231818,0.772377147060063,0.9126175993317511,0.674280876930856,0.6405542228965158,0.6122351089139951,0.6762439637285037,0.6778330060836295,0.7107937036165642,0.6474633480233744,0.6648977922385308,0.6941548385299395,0.5373118441548885,0.6469998479489357,0.7075269861251494,0.6069986042687969,0.6626127356960474,0.5138134600868307,0.636108125175113,0.7106529961377149,0.6508047098331429,0.6665811097799867,0.34870422459217604,0.4932072788672354,0.4953690253468007,0.45427997297052825,0.43890183278838085,0.45866741318821697,0.5012596963410354,0.5337035260506614,0.5519172099293871,0.5462254337172853,0.5414262154725211,0.7067805429416126,0.6687533182191323,0.5749630260830171,0.5502559918081681,0.6122850677097437,0.6812899196492117,0.6049232571183496,0.5928508610633547,0.7350307725610542,0.8078670527090568,0.8211049580813378,0.7767774002394848,0.792316231418781,0.731791561794828,0.7710086287068765,0.8265183756385396,0.6970211803547204,0.734165133568367,0.8112763584810434,0.6536428396320894,0.7536502394113654,0.6313137264847621,0.6292408478865754,0.4558958167501968,0.5265861021330583,0.5532923110886016,0.5137287064592198,0.4867516620556657,0.5913660856537087,0.7881052339126653,0.6903093043084877,0.687226552735535,0.6933277559725594,0.6781672010396602,0.7109536893130671,0.6723659856773422,0.8187519575766363,0.7707209835934727,0.7858634358097948,0.8114955894317987,0.7733130810171212,0.6554291310678411,0.6588628872622174,0.584152270647838,0.6034650480330311,0.7296265239122486,0.5275027578724629,0.6518797055675434,0.6743548159485638,0.5993590227730411,0.5736318886640612,0.5733496508556091,0.5110726617770132,0.517826385661567,0.6113628871152798,0.44369740697980803,0.48135364356256527,0.5232569655344848,0.5128906917418287,0.45444419047090634,0.42538333530915473,0.4385889144018336,0.6956604203086384,0.7243111431448216,0.4966202286925589,0.5634763822144101,0.5306957714463854,0.5321210665015637,0.6712802928831462,0.6534197295277818,0.6504076255695229,0.5459458995613089,0.377561482967489,0.33926530359872015,0.7918514382931583,0.5056021148674966,0.6214486863510983,0.5883036702493785,0.6546631745664355,0.7117081259039236,0.5969364326046147,0.7361824109656383,0.2566990483907361,0.36865447621112024
a.1.3,0.9127260980811062,0.9840167118637034,1.0,0.9509335271186041,0.7342029847030281,0.7813131886930197,0.7649196506810472,0.7629039014351752,0.7936660593048521,0.898318804237987,0.6428646702622501,0.6164870138575708,0.591483400661137,0.6569985425549904,0.6676162560278961,0.6923639626399897,0.6281685558046508,0.6421041210657963,0.6800273139430121,0.4962451262990683,0.6505215316238295,0.7148394256713331,0.6035749573836778,0.667797988494313,0.5287728867855518,0.6552365839915208,0.7428496179709664,0.666031915677076,0.6809727694587893,0.3696812764013868,0.5153142223111162,0.5186433589096898,0.4813348355453423,0.4611881576965257,0.4750904562772081,0.5212462709432415,0.5575731333586575,0.5746653892104635,0.5671903778654088,0.5689355267634852,0.715153402008849,0.673094561244517,0.5873624465374764,0.5594432380211591,0.6319147601851438,0.6945012586971652,0.6402811539964598,0.5999254967417755,0.7536723388316025,0.8300696819405595,0.8338465668991475,0.7937972452249824,0.8255585790096298,0.7438531432399196,0.7848601456410569,0.8422841960756955,0.7267785199042601,0.7664718998524805,0.8346270996139008,0.6609037922311252,0.7664537971359033,0.6402943196085158,0.6506870421753917,0.44255317423200546,0.5167398700166175,0.5488368093585873,0.5100578516977262,0.48720705117267693,0.5922283156932744,0.7800809109145922,0.6976082255922924,0.6982238355060217,0.6973618405666715,0.6877811541433974,0.7138210890888168,0.6744004253903295,0.8171939484499284,0.7739044756086759,0.7919140925005324,0.8174131794006837,0.7892183158819424,0.6578967429274949,0.6596368371709427,0.5788392408825639,0.608185860355997,0.7239349828003622,0.5802349133106159,0.6780378959212522,0.7017613884454474,0.6248672785815886,0.5936368010830597,0.5766244793044513,0.5298617534326542,0.5249047829434323,0.6297544243068702,0.4615780714035794,0.4959532493817893,0.5266499318415089,0.5238873867617773,0.4636054581101081,0.44602360605996666,0.45897363121862844,0.717403311069147,0.7251904179499955,0.47325667459796833,0.540892655533927,0.5104008629118302,0.5136932063267113,0.667817149161859,0.6497821414467515,0.6548259814655218,0.5374409141730812,0.41827237664747213,0.34138825854276306,0.8056002164332582,0.5085033690742476,0.6373272373414844,0.6223694563442704,0.6607364008778407,0.7314471399794322,0.6081387227628319,0.7475560891807997,0.28590648853671924,0.390374562250746
a.1.4,0.9140698133615799,0.9547898759499591,0.9509335271186041,1.0,0.7988272143310509,0.8115332054662445,0.7747159240017395,0.7816338653866713,0.7974329525042905,0.9058898540209865,0.7722056414530111,0.7415471627782756,0.7216882475929706,0.7800342435218577,0.7953631302089024,0.793429313388058,0.7583006392198528,0.7695783965471772,0.7963126999784472,0.6099441748661295,0.7577649633793211,0.8200392488054411,0.7187524336545723,0.7903786529944921,0.6281337609727883,0.6874015848458163,0.764587924277277,0.7023002381388855,0.7158268465755391,0.4182768435515626,0.5621227927248944,0.5598012956490415,0.5177385757311572,0.5044803341902541,0.5399196932929612,0.5806301167725136,0.5941248691299957,0.6216889587711217,0.6062372322215894,0.6073909865281112,0.7557724890547626,0.7294347996866819,0.6433173557267856,0.5996961564817629,0.6708378342779758,0.7514461748930485,0.6606045096570646,0.6373542738662424,0.7848024285382039,0.8517780129694209,0.8467272374942996,0.8023731133281192,0.8378780653908914,0.7606729179422078,0.8108989050853999,0.8715078581365334,0.7552061326361358,0.7638131515177982,0.8265289551482274,0.6944865649337096,0.797338442217745,0.7072017249772996,0.7214505612753153,0.5110000158104895,0.577151926637448,0.6390059704287423,0.5861586158850985,0.5627954144408309,0.661297937742054,0.8615836902987248,0.7676170730011441,0.7602448004501698,0.7749916965542714,0.7558106928397467,0.7848059550414331,0.7584011445618881,0.8463980971928976,0.8120731131106516,0.8270040926833228,0.8633022728724739,0.8256332233279834,0.7525607850137248,0.7405873661493658,0.6757372052144522,0.7000236452041525,0.7658411259748651,0.6286379333844716,0.7306385127889521,0.7845272437362103,0.7295150864102025,0.6565751270672582,0.6577622656043507,0.6178415437479476,0.6105774172960055,0.6932937839914504,0.5435048540259825,0.5551659422543325,0.5721332423417134,0.5696931372072481,0.5187921773459666,0.4917984408271272,0.5243271417144718,0.7434013981762454,0.7517542737251823,0.5117917157854689,0.595993445641098,0.5732183473853711,0.5713753967977352,0.6737414394868797,0.6829759408431434,0.6812093978254758,0.5960903069297964,0.4296331243507928,0.39293985824985167,0.8294930986625678,0.5512886695038168,0.6823753773431924,0.6795438303502741,0.7125356786617344,0.7558309114582614,0.6689611468094462,0.7948459097352707,0.35339870569102977,0.45693495970176595
a.3.1,0.6623575344123532,0.7318793717252376,0.7342029847030281,0.7988272143310509,1.0,0.9422307048992122,0.9178609218831927,0.9027767745202618,0.8540064103600201,0.8484145517394154,0.8368764209236605,0.8353093604386641,0.8391384376450458,0.8474457037522171,0.8549387002637413,0.8825988283428121,0.8503644729250069,0.8307521778655381,0.8462381114963946,0.6623880974403406,0.8129132437299801,0.8663408256049525,0.8491286686433501,0.8435122420502479,0.8507412210200046,0.4673865748725713,0.5240940398510147,0.5612376404143383,0.5614974261522305,0.2175521588929507,0.3522264960176081,0.35548945190557835,0.30922513849018995,0.3017280277248982,0.3502819821369681,0.37466669401665836,0.34686938496196756,0.4098395670253375,0.3884016012440563,0.4035587472238338,0.5876030716078228,0.5338224867595966,0.43941681980996733,0.40026370015647683,0.4680226385050306,0.6185242747731415,0.4710794115041941,0.40175776202462665,0.5794284020220735,0.7724339237620549,0.6911891668641998,0.7359936254927627,0.6992918957840712,0.5631746310880891,0.8463991551438663,0.7095760020514845,0.6300854454099944,0.5655435008573223,0.7092998768486297,0.5620997529037962,0.7259187584169551,0.6874208630634698,0.74124364840034,0.40230060842172466,0.45039165050989416,0.5891921139629486,0.4429367402332465,0.3797388636113709,0.5120851208541473,0.7483118188228403,0.585757417367711,0.6371313988621502,0.6896780602304418,0.6253803848014529,0.6590715387032848,0.6725667612611974,0.6571012813490709,0.6314639555223307,0.6462442358570029,0.6533153450321944,0.6404386711407021,0.7009421817452793,0.7471518343606135,0.5477184376344663,0.6851031275910615,0.6703606983910505,0.5652264682170076,0.5583273348492988,0.7519526983068846,0.7133742811296636,0.5641097421943937,0.5501686520781889,0.5170405631919698,0.5003583221156245,0.4736738599299954,0.5058983411387584,0.3968545119345979,0.39970181064194055,0.4066836992854305,0.3794761391207875,0.3115819005983359,0.33951462737703214,0.44487478885796605,0.4669334192076053,0.4111079326868117,0.4869987523819325,0.4459685926095895,0.39828709509645016,0.4675565523282239,0.6284451512079361,0.5270212726315548,0.5999632303263291,0.5247176431720638,0.25599327754444406,0.6108728207165137,0.44224342969836467,0.45858677381437346,0.5189205420635133,0.7014847930421622,0.6269789487152978,0.5961034725418524,0.6772465485965957,0.18370489844816812,0.28816944565896563
a.3.2,0.7004022741008724,0.773884021889946,0.7813131886930197,0.8115332054662445,0.9422307048992122,1.0,0.9629325719064294,0.9552464405680468,0.891058556939597,0.8863720692480631,0.8469939586885428,0.8335831371079182,0.834130685509322,0.8533601198681958,0.8519288297575276,0.8849960276879875,0.8129011360688928,0.8455560857718466,0.8539938324985022,0.6650077015891775,0.8019187821620768,0.8469603393577567,0.7996048082931131,0.8217148080397926,0.7979559329331967,0.5346639104301094,0.5649992438589326,0.5758010408004081,0.6052350000038204,0.36164496329233403,0.44877756998184026,0.475360586424573,0.42269696269917617,0.41113473411135437,0.4358925500327054,0.46912572871515795,0.45018088316688926,0.5071938608750982,0.4849579649631325,0.48515215774095966,0.6409473104564759,0.5893718480775356,0.5325918546826761,0.48365127796656654,0.5356439256775338,0.6512901917777109,0.5210931031529819,0.44507368364009897,0.6496435498698397,0.7512973564567718,0.6838046691020306,0.7250815665503175,0.6986632378083935,0.5732074152253603,0.847160762291289,0.7314210438555354,0.6033971040708132,0.5966675955084338,0.7183058607956344,0.5568537266998789,0.7473503764924235,0.675070108353575,0.7285643411395812,0.5345929101650927,0.5841091297583328,0.6349120528298395,0.5086061078683282,0.46401335698363133,0.5810744561794063,0.7746104815551832,0.643727488052354,0.6705389043542382,0.7294338592858208,0.661215182466273,0.6964523553838331,0.6914483648515539,0.6907591685704396,0.6529324843315992,0.6657494427684085,0.6810867930632036,0.673222220661418,0.7087053084041686,0.7574298280224293,0.581034018942377,0.6945606215015251,0.6971009968778104,0.5735780507147605,0.6056914470718003,0.7660161580851463,0.7232547203274288,0.6105494403703863,0.5719220047982778,0.5223667585693,0.5467634605599699,0.530890434424643,0.5272323926248828,0.4608717128067492,0.4689568092104741,0.4923797261094247,0.45080519178858425,0.3923998330553371,0.408753051380388,0.4512103870096316,0.4792896987725594,0.4512404798371884,0.5115245243907951,0.42881850210482286,0.39298875909463143,0.5437237323264148,0.6787723489938092,0.5723367215780444,0.6562068425800109,0.5692420974442197,0.2805162283507232,0.628350876021606,0.4990660937822987,0.46904732279335964,0.5662689025715908,0.7454894407383181,0.6530278174688982,0.63261782737896,0.6988188741509135,0.28840442832414515,0.3851037329741159
a.3.3,0.6739919387662682,0.7563945642244123,0.7649196506810472,0.7747159240017395,0.9178609218831927,0.9629325719064294,1.0,0.9514558022468645,0.8750854956626655,0.8597235773953729,0.7794636552993558,0.7742722898954927,0.7733463476975843,0.7915737849389042,0.7881452009492641,0.8397421749979032,0.7629258833053045,0.7779988634080092,0.7958630708167105,0.6120034176518296,0.7166090249917995,0.7983874593783562,0.7328676154801972,0.7584264178350315,0.7520399204867562,0.5123423204896714,0.554545395236082,0.5588563103336948,0.5836356379247445,0.3373596988037102,0.42190608557495024,0.4440137343194769,0.4162449899409434,0.3853740982216961,0.4093439757715122,0.4414479681199406,0.4233466621441222,0.48220823284513403,0.46442243135823097,0.47482009102962786,0.6094042672217226,0.5549172062265587,0.4923817244612546,0.45766059651624974,0.510437185895092,0.6277019994274134,0.5165300430744737,0.42928740948421307,0.6136803874874728,0.7344185716004464,0.6531866276643247,0.7060391544127047,0.6922899060721742,0.5572124896284071,0.8233214829110649,0.691714498295259,0.545726198410123,0.5526819909297161,0.7004164976638974,0.5221691568383512,0.7234350421925541,0.6437263125512775,0.6806244684898414,0.44632782573854823,0.5067602185280011,0.5804497949073885,0.4379280476966615,0.3691411336567646,0.5079002194719284,0.7345796152479181,0.6079772089149297,0.6253614592341222,0.678578156215982,0.6102199474186614,0.6461082303824592,0.6451018839109226,0.6449501267219548,0.6063393832651317,0.6183954398551642,0.6336331076586775,0.6293717987064904,0.6611133840730536,0.7162055930223666,0.5486885786728487,0.6424537150859283,0.6612533862512572,0.5668880389885494,0.5864475540496864,0.743815409655366,0.692963115538649,0.5904255672424525,0.5380487657797061,0.48193422354421683,0.49903153405065154,0.4976543169894994,0.49250997162869375,0.46375368879584666,0.4739946541737547,0.5001688313421031,0.4486519089167693,0.3907933932842801,0.4035754393391192,0.45945887806298114,0.4819330480431404,0.43909285171330165,0.5044797464397158,0.4209770870742431,0.3691283206950315,0.544683058754894,0.6834630684892183,0.5883911275294652,0.6451230429302985,0.6066508910503872,0.30646447421218065,0.619887856021807,0.4956572582107428,0.479312268393227,0.5675532550477045,0.7358421034040101,0.6540948197959788,0.6041060487700115,0.6839972161783507,0.2714420653412853,0.3825503095358822
a.3.4,0.634489107542538,0.760388564231818,0.7629039014351752,0.7816338653866713,0.9027767745202618,0.9552464405680468,0.9514558022468645,1.0,0.8523718761132363,0.894777724795332,0.7807567064834351,0.7408149431577639,0.7519565774604369,0.7890120154430278,0.7772345526081107,0.8384066882249646,0.7335382388443038,0.7689820648511013,0.7972982400809309,0.5286297107544419,0.7106363040224295,0.7946989721007163,0.7373900032214608,0.7526984361897755,0.7720924406993502,0.5098990415022998,0.5503802422719474,0.6114707981140965,0.6346447438850581,0.3553894167639737,0.4410769799802175,0.45497281330497946,0.41653475095628484,0.38466527107260534,0.4261087370234232,0.46380117903933465,0.452067092194138,0.4837361491442852,0.475034737526185,0.48801379756143476,0.5861702533457552,0.5480139586050823,0.5223620565649942,0.5038653120270629,0.5438475125897635,0.6535701936655656,0.5354353917865742,0.488696411036521,0.621918769231565,0.732806019223792,0.7009399482932341,0.7161383543607945,0.700757275425956,0.5878117230488901,0.8539742016305258,0.7120319764504817,0.5610442704872646,0.5818305384717698,0.7341714812741796,0.5388965371560315,0.7105862276765733,0.6071667009227272,0.6877001621192309,0.42508181928304895,0.5164492861505225,0.6194150694888645,0.48270382409895934,0.42928764458442836,0.5231423541795323,0.7190782825529602,0.5642954713644706,0.6255196816790105,0.6391807674388083,0.6062917754715361,0.6500549752465922,0.6204176543569565,0.6003693659482376,0.550046282416132,0.5727757712300932,0.5853713828142095,0.5761167803895387,0.6841718956383092,0.6968321597816295,0.5446152323427836,0.6659836025828345,0.651783196929168,0.5798907265954356,0.606909853937526,0.7346590791206852,0.6795793304827824,0.5617486307322649,0.5610314575255314,0.48137586053290987,0.5014924455541697,0.5226124382942751,0.494728142159928,0.48440124765333253,0.5028781262230722,0.5178159237019867,0.4683158084734937,0.41969238194780645,0.4203173958701473,0.4533798917963014,0.5165910515803407,0.439437391078805,0.5077552801892039,0.41239075701152594,0.3886548041759206,0.5333701539453842,0.624636645270392,0.5381316386055948,0.578079984737294,0.5556925667365756,0.20728168843802414,0.6200340883557156,0.40713109499512196,0.48196596207328063,0.5309865904126955,0.659111035539453,0.6644164245477304,0.5382194485360046,0.6680493106244549,0.23048995884041756,0.35422696374948637
a.3.5,0.725964955609259,0.772377147060063,0.7936660593048521,0.7974329525042905,0.8540064103600201,0.891058556939597,0.8750854956626655,0.8523718761132363,1.0,0.8090047026508314,0.726282223349789,0.6960234150410417,0.717396375612796,0.7407184345193885,0.7335277768847235,0.7563429597271568,0.6975362849264145,0.7036424252679598,0.7387475894146364,0.6016486637697226,0.720798275728001,0.7503228660644066,0.7008996286063124,0.7347099783172949,0.696176700381409,0.5367265621689311,0.5629258950603152,0.5401127105697119,0.5535676134407028,0.33763147465258214,0.4339172380238628,0.4593393296035076,0.42332385742323936,0.40586625583687713,0.4244084922664666,0.4468392862569054,0.45680730028486505,0.5131480089274605,0.4721428873280455,0.4899198725568753,0.6022177238408252,0.5653409620218525,0.50062692411159,0.4635361035465984,0.5261569266900517,0.609305172480979,0.5371659644713028,0.453760283944636,0.635807314449653,0.7215319059498045,0.6643330815214111,0.6895187798345846,0.6664440463544743,0.5468781894650301,0.749489318251106,0.7149473366701499,0.6091152115070271,0.5851474498591486,0.6957976012842584,0.5104653979209265,0.6853732577384264,0.6029495908110141,0.5998367464105047,0.6011993872583089,0.6355057984235473,0.6856980486858456,0.5940684450783269,0.5414929839336627,0.7043806399439615,0.7389369626380501,0.6410913093383392,0.6645672413358371,0.699064083675458,0.6432311914978829,0.6664770779347222,0.6555872359626217,0.7114804313454179,0.6879272689271984,0.6945447522369932,0.7280712184380165,0.6903064831059043,0.658873584322013,0.6771751956812561,0.5497676886610167,0.6214599711614321,0.6918568514756153,0.5537037364653541,0.5818217222136965,0.6916750014590907,0.644750173988853,0.5772644220904629,0.5146581751603575,0.48419553496495626,0.4921755415724478,0.5240519569124782,0.4762368049269482,0.4219780262408281,0.429295990642071,0.4390380733631397,0.4013189474727932,0.36616547023187523,0.364198621830783,0.5148460202323719,0.5135674277115327,0.4951936405861965,0.5752407969873788,0.501643732542707,0.42576043605447533,0.5843048506875594,0.6806612616735338,0.6189030212199691,0.6145488476827435,0.586667020100657,0.3637554579249667,0.6641373605921845,0.5984643489037659,0.4826592726081624,0.6308322412438541,0.7552441013209047,0.6210244480126127,0.6412782140094925,0.7123317292249728,0.39344097435873626,0.465686212565507
a.3.6,0.7709899382397611,0.9126175993317511,0.898318804237987,0.9058898540209865,0.8484145517394154,0.8863720692480631,0.8597235773953729,0.894777724795332,0.8090047026508314,1.0,0.7738031474158872,0.7346861156454433,0.7216549809125073,0.7713779711450927,0.7893438593969057,0.8255963125941833,0.7424631132170344,0.7557432190779593,0.7894049854528803,0.5117718498172772,0.7227343260008907,0.8058404888532816,0.7141407078314996,0.776572510401862,0.7043577176729711,0.5678941503598708,0.6510690800252333,0.6854255675363279,0.6970382251203286,0.340960846351371,0.46576838009074983,0.4740541345282223,0.4284717292872743,0.40120198511568783,0.4506868188301872,0.49218341742965993,0.49691845331565065,0.5199896602925317,0.5194253022257349,0.508333391618595,0.6464988493901589,0.6122078372890218,0.5682338701709607,0.5422983197211289,0.5852513641543055,0.7117894705784129,0.5743207322948526,0.5679979471049201,0.6986745226187272,0.8055121714026332,0.8211191816443626,0.7914826836054805,0.7637892888459465,0.6762880450188701,0.8528687604182457,0.8116094954861053,0.6528571347125997,0.6767625948034272,0.8185353127282492,0.690292377092987,0.7637844692915331,0.6741056097203595,0.7130534868859043,0.4221494142977724,0.5127640902758965,0.6147812442455549,0.5086722885789314,0.48115286797871004,0.5540862445156263,0.7781508556971923,0.6383391086680803,0.6687787090423833,0.6849923953896613,0.6711019693698509,0.6955349943437827,0.6546518897561018,0.7469570538322481,0.6949483017565337,0.715044903259494,0.7239922297027845,0.7110440853458451,0.6951808158694526,0.6892421844312994,0.5478318734883424,0.6520623784348215,0.7346771818372624,0.5718968490752421,0.6393887135792298,0.7108777519435294,0.6379066418220596,0.5571445456661891,0.5915018560280371,0.5047005055418704,0.5190190490537187,0.5725351461597468,0.47729851749918495,0.48300581032549567,0.5295223862718872,0.5247388021914396,0.4844389812378861,0.4283514755271549,0.43214328934941365,0.5845127968279809,0.6627545011258655,0.4368382406486979,0.5068687172773562,0.46429935639552816,0.4591021134862829,0.5946539621644995,0.6127711374048498,0.5792193979306832,0.5166312537171548,0.45191827375786126,0.24070306484281406,0.7623541195817262,0.4088435649632735,0.5812876920746718,0.5856158870381082,0.6453248764651225,0.7387403013079624,0.5901407433316321,0.7187916953905252,0.2414569136831323,0.3804567421187502
