,a.1.1,a.1.2,a.1.3,a.1.4,a.3.1,a.3.2,a.3.3,a.3.4,a.3.5,a.3.6,b.1.1,b.1.2,b.1.3,b.1.4,b.1.5,b.1.6,b.1.7,b.1.8,b.1.9,b.2.1,b.3.1,b.3.2,b.3.3,b.3.4,b.6.1,c.1.1,c.1.2,c.2.1,c.2.2,c.2.3,c.2.4,c.2.5,c.2.6,c.2.7,c.2.8,c.2.9,c.2.10,c.3.1,c.3.2,c.4.1,c.4.2,c.4.3,c.4.4,c.4.5,c.4.6,c.5.1,d.1.1,d.1.2,d.2.1,d.2.2,d.2.3,d.4.1,d.5.1,d.5.2,d.5.3,d.5.4,d.5.5,e.1.1,e.1.2,e.1.3,f.2.1,f.2.2,f.4.1,f.6.1,f.6.2,f.6.3,g.1.1,g.1.2,g.2.1,g.2.2,g.2.3,g.3.1,g.3.2,g.4.1,g.4.2,g.4.3,g.4.4,g.4.5,h.2.1,h.2.2,h.2.3,h.2.4,h.5.1,i.1.1,i.1.2,i.1.3,i.1.4,i.2.1,i.2.2,i.2.3,i.2.4,i.2.5,i.2.6,i.3.1,i.3.2,i.3.3,i.3.4,i.3.5,i.3.6,j.1.1,j.1.2,j.2.1,j.2.2,j.2.3,j.2.4,j.3.1,j.3.2,j.3.3,j.3.4,j.4.1,j.5.1,j.5.2,j.5.3,j.5.4,j.5.5,j.6.1,j.6.2,j.6.3,j.6.4,j.7.1,j.7.2
a.1.1,1.0,0.5304250619554739,0.5029543438774992,0.5047527806699523,0.4297381243774542,0.41177182520450956,0.3311469451540494,0.3259158280815914,0.40520457065749804,0.4287163826277703,0.3874445858599624,0.4497541533668048,0.33172408847280443,0.5029371601328715,0.4146606237942819,0.37561228150903586,0.3849004315933828,0.4103937725937507,0.42643573016447145,0.6133589416313544,0.5351920967640348,0.4430849490067639,0.4312153063131077,0.4787496664513457,0.3511391001349725,0.3904232446443919,0.4383595536987428,0.4751813307612211,0.485391580940424,0.3638702958364107,0.233598295454124,0.4081788273347702,0.4313928197255544,0.46181402066342675,0.5355485133252387,0.4893444465648721,0.4830816830695954,0.5784483449401037,0.46544041072513725,0.4707819181569897,0.4955561213797722,0.46747620679427054,0.3711952205849112,0.4184476239514114,0.5064998038631677,0.49818617485359196,0.44713455683110015,0.4536123910284876,0.37946138545384284,0.4641297492810138,0.4292748203176015,0.345986090035227,0.4997518802974351,0.4007128947849559,0.45266594820663003,0.44041162210470836,0.41262126382371755,0.44883689026709295,0.42018200275457174,0.46009433507364095,0.5186005799589166,0.48781025791969335,0.40842107379703924,0.1618869447173519,0.1838495661074849,0.5245144183648759,0.5183584437201395,0.5899522791111784,0.5044656042136533,0.4381647931223971,0.4946815988471986,0.4590879874343035,0.43527167739062295,0.6011937052483906,0.7265710722676018,0.5188553308086009,0.4336731366632968,0.5367714231360603,0.4131656211709736,0.4553623188930027,0.4059876413411561,0.2967091582231993,0.468237374674706,0.3797397530020695,0.49692447716988686,0.5186368648374935,0.4874247049503122,0.5867385372347945,0.4148136963126259,0.538216553167971,0.5663162967855042,0.4972627140458976,0.4458722096052245,0.47091947368023657,0.4646046276368963,0.5188494109271848,0.3713980821693751,0.3986977025182814,0.46493148454931466,0.45857417532075767,0.44903634335208925,0.511986683029875,0.5296903094036806,0.5088052546796001,0.4342860757060564,0.5371216500993631,0.5271562292770114,0.4591798114315932,0.5202617961795928,0.31339428345463427,0.4106598717074831,0.4606427031760964,0.6048252343462451,0.40017307184465417,0.45213722112575666,0.5005887717576717,0.40655395424145013,0.543904135452022,0.4533156330346073,0.3377734850702637,0.1901221077827783
a.1.2,0.5304250619554739,1.0,0.7944904396064069,0.6564273686578012,0.5545750617232225,0.5331293950416427,0.4286423820217579,0.5458486546572863,0.3759066591985,0.6675627446602281,0.6391330346442752,0.5929240598114597,0.4432044231343112,0.6061158700788734,0.5853709549589982,0.6399609948606538,0.5421808563972115,0.5727157688039068,0.6115359076992507,0.5479291110354134,0.6208423202856351,0.6203863827003812,0.6041526055077923,0.5949650008839916,0.6172104265598212,0.6991261156981942,0.6901609816427672,0.5901961111462047,0.584111760177984,0.4480183523046265,0.289906608581704,0.5039022392747958,0.6001810560918553,0.5932044680068485,0.5665934063524216,0.6671141405332597,0.5602798504617732,0.6195513562806887,0.4870580251295305,0.5146742653745533,0.4686100503183636,0.4585064121983309,0.5791919429619222,0.3015392748874133,0.5998285807680513,0.6826037610440452,0.6259690400680937,0.7183372252368856,0.5697532427386803,0.5915030618113939,0.5620716543045342,0.5191334844148506,0.6814508545201099,0.40498041134376966,0.612084879580864,0.7095797139369497,0.6666895173735349,0.5880565020161794,0.4860072044463934,0.6292581176215734,0.38855664759486613,0.5441079878630743,0.5189879506916486,0.07521596060276957,0.20274289118648708,0.5234009835880153,0.644209284703508,0.4399747735480516,0.5609247326143262,0.45941517421784683,0.5589881701373844,0.5438857515883805,0.4349023464576988,0.7175533406824818,0.5976785295262087,0.6669638081718949,0.4800034116340707,0.5933093474300628,0.6141322884109536,0.4456406570794804,0.38816353498877193,0.4470473916473389,0.541869182204223,0.5892918192674812,0.5991462501655055,0.6122135141861867,0.5043774993265214,0.55072184148272,0.5984750004332923,0.5346593779953074,0.5460045701843826,0.560510178458406,0.4164289069827056,0.5441855811198969,0.6989992913767821,0.6301999852508269,0.5637006164966001,0.5420287817995162,0.4698489610992074,0.5820143245172066,0.6606715063186641,0.5472872445112056,0.6205395727209478,0.6179663784686499,0.5768221578028131,0.6818316468057802,0.6373342483968242,0.5650369047282525,0.5374125847726127,0.600270180718106,0.2316466626834843,0.6743825190464872,0.5117212630616796,0.6274631670555973,0.5768090775033885,0.5640549450431284,0.6095972293451744,0.5387059201773972,0.5879559400289753,0.15953657536654173,0.1901221077827783
a.1.3,0.5029543438774992,0.7944904396064069,1.0,0.6302015651074863,0.526724106002252,0.5070709421340465,0.4105926536621607,0.5079659376851385,0.3954725407684198,0.6181998522802878,0.5457369715805174,0.5399085098909826,0.41530505185421346,0.5632543732031153,0.5788453608683777,0.6054543422661315,0.5148249053325389,0.525776938705606,0.5933774110502084,0.4787931395501289,0.594799329319178,0.6035472007408553,0.5522012437349836,0.5750959566836056,0.6440218982217492,0.6821382106879811,0.6649468775424049,0.5790431181716459,0.5800278518532402,0.4595975757279623,0.27096639415347984,0.47188533644525216,0.583740297399623,0.5895435542334484,0.5572162572305726,0.6378825307676743,0.5685545864290898,0.5880842727114852,0.4404532257095336,0.4866416648971572,0.4491127880227108,0.4677005056999235,0.5652879782062455,0.4801943027793155,0.5707142809491155,0.6443908135854373,0.6209599807484606,0.6918367839807508,0.5486861315492084,0.6103396809231665,0.5392791896676167,0.5048274964591521,0.6504137602265627,0.3921372215110419,0.5923564497717619,0.68799673731961,0.644560986739316,0.565472548663561,0.4398336930431827,0.6017146677950989,0.3373113134591034,0.501108897760886,0.493184908971421,0.07706591810445151,0.2284604517849723,0.5060272909021634,0.5872771093489856,0.4540993281552791,0.5509932835672012,0.43211674910151016,0.5452387488877654,0.5218830900164534,0.40886576889612175,0.6767016157773464,0.5897831113685758,0.6835190529017128,0.4700760641125265,0.6323633082303658,0.5870723111853047,0.404586271040122,0.3401169640909732,0.4223571429220902,0.46863847707353273,0.649166389757859,0.5771532313672871,0.5531422894845749,0.44298281808717344,0.5207987773385587,0.5427185325726065,0.5215112825357184,0.48354128934325497,0.5549494069659109,0.40429927671660687,0.5323622354602978,0.6212642349796952,0.5927775766096937,0.5254467837454817,0.5581878816402133,0.48074638023258753,0.5952376040835847,0.6299579781904788,0.49739825455973596,0.5686652357910575,0.5799066232491997,0.5430916139843044,0.6473398058522496,0.5972199294039956,0.5511997464147569,0.49231168752600984,0.6563496214674165,0.1860954298518442,0.6684340337517656,0.4731130832142518,0.6265928680637198,0.6201656188608582,0.5530850489065412,0.6158819510586518,0.5436717252448221,0.5838283733473673,0.21046526973998522,0.1901221077827783
a.1.4,0.5047527806699523,0.6564273686578012,0.6302015651074863,1.0,0.527306757255962,0.49378887183579245,0.37852767794348063,0.47565132405990024,0.3546888696651183,0.5632973556018155,0.5898176544049875,0.5651118828765261,0.44465815287851856,0.5883888921835819,0.5916992563865504,0.5665941640899786,0.5274787338522264,0.5636410952403067,0.596237193315985,0.47891581940060773,0.5774351834648189,0.5968948110203077,0.5527227568765498,0.5990733494746173,0.581161505428727,0.6230290172739887,0.6179902425073421,0.5801350203895156,0.5624811622805268,0.4334416275954154,0.28456305291607964,0.5246556664866745,0.6086386780732501,0.5530918138912863,0.5618050326919087,0.6029797819911642,0.536125027416722,0.5709044171496305,0.48171302154036594,0.5045117775235272,0.4698021095799744,0.45013787364321256,0.5288649178771295,0.2734181284783834,0.5618238264201757,0.5832530312800792,0.5782868020752822,0.6260763880932377,0.5141343647453235,0.572723773316295,0.5315357003690041,0.4785559971145085,0.6152865472845725,0.4135359713901186,0.5564335601902175,0.597831530772114,0.5885861704142827,0.5253316638679337,0.4623847881779859,0.6328093338987998,0.37783571060458804,0.5130988474818112,0.5036478829849343,0.10749071701257217,0.24083069716508,0.5219853439564126,0.5886421469890729,0.46609560235302117,0.5627769719760242,0.457373788426671,0.5680203577246941,0.5449411397606698,0.47753387191175756,0.6231846482110764,0.6121729078577742,0.6199315179257275,0.48965693058481746,0.5945729554941617,0.6010688882045495,0.4344631226563102,0.4172377966949334,0.4526805338819057,0.4195221728596882,0.5508205362106167,0.5552286224891368,0.5493325622328497,0.5008082134331415,0.5204695253198047,0.5537044885054527,0.5550833051107669,0.5339583916664464,0.5541179303789882,0.4229522525328297,0.5455027564175109,0.5923631357980074,0.5695126448475741,0.5177315506251293,0.5267520471546979,0.5387569916899569,0.5862840973722836,0.6094585554872914,0.49398312371853365,0.5807735161288679,0.5928848005506284,0.5545697043575191,0.6040416836649627,0.5770350978168405,0.520554499486827,0.5172408896155882,0.5482728974607362,0.25436276794996415,0.5924001352733489,0.4992550964288536,0.594158283081288,0.6006318833553093,0.5378074233770229,0.5559954970245747,0.5370012891578362,0.5538633853094688,0.2596358513660405,0.1901221077827783
a.3.1,0.4297381243774542,0.5545750617232225,0.526724106002252,0.527306757255962,1.0,0.5423758158374266,0.4303830902446045,0.49239022484610934,0.3306826279020672,0.5011881283265713,0.5543686515043028,0.5832919777648826,0.482179654240397,0.5533051736037966,0.5477386819493958,0.5583335064361222,0.5338285302733627,0.5481053340822127,0.5562061936671869,0.4607592699833348,0.4964230266890229,0.5381278383743127,0.5596202227516572,0.5411254647702249,0.5735667934284856,0.5448566467788861,0.5422629847540494,0.4877641804349691,0.47828628150818353,0.37204414483999315,0.25856884128700974,0.4700417530521647,0.5085824870880562,0.41801149864301734,0.47943525856672164,0.5135375236614311,0.47624470462251994,0.535639762962695,0.4348619749281038,0.4408493548882759,0.4350923292152554,0.4231020615278211,0.5185399323502127,0.3625241568677361,0.4701095152950116,0.5334022211084177,0.521900877137618,0.518911103401819,0.5172008348541114,0.5259501212426485,0.46753314501142795,0.4699882398581133,0.5346371608893815,0.41988636795475653,0.4811688330810886,0.5489710726922419,0.5073124594459006,0.46749901723389053,0.4376680307244618,0.6951797727851433,0.3848549509850963,0.4704652396998207,0.4669812875110075,0.22737491995350195,0.23765574651982677,0.4700510776308164,0.5515700836524494,0.3749739137105955,0.5112671228344936,0.4382864367356027,0.5044001136483207,0.49556810623463676,0.4782847437753202,0.5299608130933859,0.5568650894611638,0.5453733656901607,0.41085403924270425,0.50913244709999,0.5637004691839469,0.5079394110128055,0.3972870623819144,0.49338939531142406,0.4655275848973954,0.5202815647461115,0.47734545602563555,0.5877148355051346,0.5587599213244319,0.5355634197557643,0.5043229095841597,0.5165362127567714,0.4915002062185232,0.4236990531391318,0.4395352900511611,0.49447854880510256,0.5121892751980168,0.5090025640061787,0.47506101230092784,0.4272434785089016,0.4357517817139503,0.46722164103534336,0.4711449084317277,0.47239413803205965,0.5329439001616146,0.520457830514281,0.46097607524317497,0.5016640872354337,0.5570569681756596,0.42577320474791946,0.5390904776138556,0.5344451720300399,0.3002518303325338,0.4929542872371947,0.5020576476809,0.48126130627228314,0.5128925809082441,0.5358219842776245,0.47520256225197866,0.5057485186291774,0.50095830153474,0.23068298217761082,0.1901221077827783
a.3.2,0.41177182520450956,0.5331293950416427,0.5070709421340465,0.49378887183579245,0.5423758158374266,1.0,0.47640088117487966,0.5510286928427122,0.359286828689995,0.5138400909504894,0.5764022927233096,0.5922611604036043,0.4856652735890449,0.5688084566596477,0.5396072897110755,0.5484702955162806,0.4749556387520369,0.572413098962549,0.5551884060453773,0.4738084284123973,0.5142104649244184,0.5362921111338279,0.5216011856481201,0.5361164549165046,0.5209913231534912,0.5028140802252588,0.5381622238725348,0.5196612773521581,0.5635815403570272,0.43686159345727743,0.2888475364244011,0.48589898123142006,0.5439843974295997,0.45206692828572087,0.5215613966406413,0.5421371434785748,0.47111880762394676,0.5469279614383792,0.4399029729437018,0.4911317598938594,0.4637957803847861,0.45143938449967713,0.4814677409276306,0.262108108380307,0.44007582297702774,0.5627771313893669,0.5056582244653705,0.48854267483538916,0.49246322907868856,0.5090553056344581,0.4475499792752049,0.4911608328502847,0.539160763500732,0.3963991032445648,0.5018385084989209,0.5198748388752116,0.47247580790741334,0.477064261222378,0.41704941576464033,0.6454122875453323,0.48166618786283105,0.5590441924486246,0.47536110139625565,0.2105285599197511,0.29210926864307213,0.4989418573944733,0.5599240932970333,0.40814852400280266,0.5198259602142259,0.4610732882154773,0.5167635449654988,0.5065187449155627,0.48725980321656165,0.5550489230658497,0.5637974624007849,0.5380420593536314,0.417962926993811,0.5409495975313852,0.5515731976715994,0.5231043313363615,0.43106236056960695,0.4958950000736225,0.4776293049337841,0.47067409553660305,0.5029456720513976,0.6012622594943138,0.5827066334690734,0.6126309869529781,0.5006878022110549,0.48729876241352893,0.5468326786410184,0.445909621770875,0.44868252116578367,0.491485660390924,0.5208236247004954,0.5683537458830263,0.4974744461864926,0.4854805070796605,0.46867993878665737,0.4414511027312823,0.452289428499305,0.5338688662128104,0.5634089900644679,0.4947324811903357,0.4520788557586427,0.5252539973150143,0.5795471509475875,0.42675443388127443,0.5826612615721795,0.49787275063013314,0.34840603109990387,0.4787359028565322,0.5670506737480315,0.4512468224880419,0.5529980598432888,0.5537503603398384,0.44666327470567857,0.5119474583532968,0.49233405491453147,0.3044633553757005,0.1901221077827783
a.3.3,0.3311469451540494,0.4286423820217579,0.4105926536621607,0.37852767794348063,0.4303830902446045,0.47640088117487966,1.0,0.4616458988720469,0.30829002097792274,0.409732046246454,0.428830833351401,0.45752787647682447,0.3844333164451178,0.4398028415585979,0.4110249546295721,0.44668192003656565,0.38486600118827385,0.43371038314666643,0.43160766383206456,0.3855645111040747,0.36596131058403925,0.4318086326859283,0.39194947395057544,0.4137657937968601,0.41509292490758054,0.4035922128829349,0.425129944094069,0.4037094597263091,0.43339825536209503,0.3937604355901763,0.24425060995990214,0.38599814089129275,0.4259994392574422,0.36238132454816996,0.4097225645938904,0.4340716710898741,0.40438320657952076,0.42850599415604257,0.34647545994866413,0.38048134558103036,0.35650806078640346,0.35899152122334377,0.38994462338567804,0.2906683528383498,0.34902338946461564,0.4323770357761177,0.41805270831173164,0.3846778097271617,0.3889760723976043,0.4176304020963819,0.36636547030053196,0.4075561289919704,0.42263560488582735,0.28949096452184936,0.3995418636677238,0.43488989004809214,0.3783121075821177,0.3942595633473631,0.34662826236485184,0.47635941215120475,0.37696438577226343,0.43804513122370503,0.38436225660996637,0.20530061836443003,0.1749839538312979,0.3717327727713738,0.42677181439725026,0.30342147850801393,0.40385570802364557,0.3684457480082397,0.39195414284155927,0.39155942213547024,0.3785230076243724,0.4346092511036459,0.4393109421625421,0.41794069872077005,0.3387943460117007,0.43165933959588343,0.42073414801144887,0.4108768308375395,0.36048725010087546,0.36796312390527963,0.392069046886155,0.3903558956332252,0.4054091619953066,0.4669040383706849,0.43808453170127054,0.502085429499098,0.3984261531763728,0.3716284917106989,0.4065113754937652,0.3616036125207894,0.36154599370422974,0.4137215841476805,0.44300974384089986,0.48597220776705685,0.4109345135105946,0.4091063717490125,0.3799804662891602,0.36569726986332457,0.36894746319812405,0.43730291842405755,0.4649722113414834,0.40798857811654904,0.3607759671759082,0.427348667626418,0.46736792175694186,0.3679276181445386,0.454490427470033,0.4032649923732998,0.32774429841789626,0.3894462359122866,0.45053390901853063,0.37395828988520896,0.44449646633025314,0.44357488017388247,0.3728633808334232,0.36979974526301285,0.39551424378758804,0.23229785851927334,0.1901221077827783
a.3.4,0.3259158280815914,0.5458486546572863,0.5079659376851385,0.47565132405990024,0.49239022484610934,0.5510286928427122,0.4616458988720469,1.0,0.31587633820424954,0.513203244615229,0.566977297088666,0.5232592149864554,0.44780832495314554,0.532814034005685,0.5087140746202933,0.5594687094701046,0.44011619409198127,0.5391591898348994,0.5497921342428765,0.3883135712354274,0.44457357863186225,0.5155885394547841,0.4784154643627812,0.49217246485148425,0.5181353459895898,0.5286650679201174,0.5594769689823977,0.5033239565849742,0.5154638100318999,0.4209252741596078,0.23994279835049506,0.4627481924434741,0.5347350033861262,0.4636821329362158,0.47277462809555154,0.5127883732352057,0.47599108566919346,0.48042321987278447,0.399549963553609,0.4736719954453155,0.4213632586630772,0.4276867306549755,0.45452874877689964,0.23093923304415218,0.4515343375347858,0.515820936331,0.4882019781393553,0.5265387695509545,0.4600296097579629,0.49391829746717375,0.4487318146740526,0.47732675091992893,0.5221548718933199,0.315474186503294,0.5050165448520171,0.52975452375882,0.46976312189457886,0.4477696115951624,0.3484610425497898,0.5499683670696917,0.373492195184829,0.5184878836379269,0.48189887985221225,0.19251168396303206,0.23769097567678288,0.42977067497188354,0.5238070784812814,0.29962380449293485,0.5019369861909493,0.4000939663574637,0.48109600782159373,0.48711225691931664,0.4252985005651541,0.5245526882306912,0.4708323938685178,0.5193197457671603,0.3845440293232794,0.4869034025505614,0.5286290224341712,0.42493056209247354,0.39443079777870566,0.46233542439033837,0.42621257689693576,0.4717562125768932,0.5069381893814842,0.5154735200410808,0.46507506314817537,0.5130440695622357,0.5098370632663283,0.44463754100959785,0.4889301509592767,0.46512317273847764,0.4192288699996593,0.49757492236963463,0.5642457348982294,0.5769201347556383,0.4902738603803048,0.5321587965436795,0.4398479104044701,0.4399721504578081,0.48361871975670173,0.5264588668555502,0.5647248168907106,0.48677076141887476,0.46805641101938245,0.5325312976369877,0.5222377086796854,0.41684482725588434,0.4938852502868396,0.5125189542231549,0.25166267408406395,0.48459196746246597,0.4596677425185783,0.4944955854267796,0.5235843411685195,0.48631109235488595,0.47620276625153984,0.41817876379401925,0.468815623825961,0.20606530257416755,0.1901221077827783
a.3.5,0.40520457065749804,0.3759066591985,0.3954725407684198,0.3546888696651183,0.3306826279020672,0.359286828689995,0.30829002097792274,0.31587633820424954,1.0,0.3276091068284618,0.3508323643188174,0.3296774129657498,0.32769953845510763,0.4143583930705224,0.32794718759102887,0.2975321564229392,0.3027148712153725,0.30688704862817956,0.3445081019338349,0.3929311337905134,0.3983931651109497,0.3643279958500343,0.36508574677954037,0.3778808876790524,0.3128671005893516,0.3042739612955172,0.29896508625669177,0.3546863283159199,0.4168239986024958,0.3682838512045084,0.23709459329824978,0.3616394340340131,0.35640601990019405,0.3502587449661503,0.4296844003905198,0.3596512740133467,0.37336995291538194,0.35107317442131764,0.29660039118114,0.3411996894516992,0.3327777888273821,0.33059411897084967,0.25481254090359645,0.2595403609984796,0.3356230913550026,0.4050578822080674,0.33650472581899726,0.32989004674151506,0.32990008916953983,0.35362778741359185,0.31178500634026707,0.29548282093017214,0.3971484884205662,0.37436482729571513,0.34523655370235556,0.33912616730856693,0.30164020950004744,0.3736677321748996,0.336497041955344,0.36889714350140757,0.4704279362489204,0.4744347119341469,0.35742156002921055,0.2597357495885887,0.32910261469771945,0.5092971126148241,0.3827541044665216,0.40899398541740106,0.38556685519614536,0.34345466575092287,0.3582337062243408,0.33782697598405187,0.3240674392274954,0.40059556079721453,0.4463533373074977,0.38371309776681056,0.3779985355765883,0.3928390085308999,0.3507074717975889,0.31838662656128547,0.34560335994218816,0.2486439576502441,0.35721943832292236,0.33224291068581135,0.38288834454665854,0.3567100957934572,0.36090522960296395,0.512347007632222,0.34555181610381874,0.3842007799976707,0.4034179741575609,0.36065948977381446,0.3380519534561931,0.3732305306283799,0.35958875674567287,0.36600598371166226,0.3364950338793418,0.40876728044700605,0.3139426410261809,0.3645069508915086,0.3147210999434347,0.4261077358565086,0.4767048813635094,0.42016926079521916,0.3180925949004483,0.4455673041991287,0.43506541044976377,0.38839576822663074,0.3968781549682795,0.327867636680162,0.3749357616073167,0.3545996122140418,0.5650955583267591,0.25742357838533264,0.4563464445697057,0.438957673306213,0.26503493306456455,0.3807319038117621,0.3776832550657677,0.42497352837720476,0.1901221077827783
a.3.6,0.4287163826277703,0.6675627446602281,0.6181998522802878,0.5632973556018155,0.5011881283265713,0.5138400909504894,0.409732046246454,0.513203244615229,0.3276091068284618,1.0,0.570946276575252,0.5430779752419836,0.4307061403301512,0.5531254162839264,0.5513036236260235,0.5706398611238864,0.4824026947368995,0.5391286963526895,0.5654107218677749,0.4373205969845047,0.5295314783852519,0.5676633191671437,0.514102208040923,0.5602810033671736,0.5368727242032325,0.5861324014620781,0.5992476185456594,0.5357147150290363,0.5378511342746835,0.41433796896125086,0.2580507926971873,0.48319755603517045,0.5607223561025579,0.5089103686158356,0.5226878931179528,0.5783938642417322,0.4963431199074873,0.5399286533496642,0.45258903776087256,0.4811981649193031,0.4403804616089864,0.4388560931289512,0.5122869496745118,0.23810886460772385,0.5207757541971341,0.5723578577699115,0.5502223645499791,0.5983581165718248,0.5035820963380276,0.5283595496592672,0.4906579669583674,0.46924456219479543,0.5865552037523073,0.3782493161531182,0.5426941013308728,0.5840466488365974,0.5548693390491168,0.503283872702707,0.41186651988950734,0.5696138560165922,0.3739923122178628,0.5165217237617405,0.4888018835366448,0.11606666736718044,0.22722844066511044,0.47331374011631927,0.5726945809987709,0.40579812572105217,0.5208330663438353,0.42924164868637377,0.5268864006096435,0.510049009883574,0.4194165470535751,0.6072794598217874,0.5432813422596636,0.5744747243378975,0.43004247712137694,0.5522118437940708,0.5444318362463398,0.42104744666270943,0.37144211393941096,0.41694577606281913,0.4399569131545133,0.5034145796255487,0.542312400016094,0.5231321722806944,0.45362191602742863,0.520863897813163,0.5339434914501643,0.4878383394629475,0.5083341124466136,0.5149271469096952,0.4110165443778189,0.5077877508238361,0.608042056124217,0.5954325841642243,0.5206812034253175,0.5342454063166664,0.4675692670840965,0.5114341920391703,0.561297623049995,0.5038771974036786,0.556149870085303,0.5424376384616378,0.5204691158901453,0.592719044602969,0.5599295494473417,0.49184514630775905,0.4879680242494572,0.5124643212726852,0.24869090706699773,0.5633766090641892,0.4774750842297177,0.554521377740638,0.5631435146363938,0.5154017915461215,0.5289623451455472,0.5137446336779568,0.5243061801656623,0.2160692835312555,0.1901221077827783
