,a.1.2,a.1.3,a.3.1,a.3.2,a.3.3,a.3.4,a.3.6,b.1.1,b.1.2,b.1.3,b.1.4,b.1.5,b.1.7,b.3.1,b.3.2,b.3.3,b.3.4,b.6.1,c.2.10,c.2.2,c.2.3,c.2.4,c.2.7,c.2.8,c.2.9,c.3.1,c.3.2,c.4.1,c.4.2,c.4.3,c.4.4,c.5.1,d.1.1,d.1.2,d.4.1,d.5.1,d.5.2,d.5.3,d.5.4,e.1.1,e.1.2,f.2.1,f.4.1,f.6.1,f.6.2,g.1.1,g.1.2,g.2.1,g.2.2,g.2.3,g.3.2,g.4.1,g.4.2,g.4.3,g.4.4,g.4.5,h.2.1,h.2.2,h.2.3,h.2.4,i.1.1,i.1.3,i.1.4,i.2.3,i.2.5,i.3.1,i.3.2,i.3.3,i.3.4,i.3.5,i.3.6,j.1.1,j.2.1,j.2.2,j.2.3,j.3.3,j.3.4,j.4.1,j.5.1,j.5.4,j.5.5,j.6.1,j.6.2,j.6.3,j.6.4,j.7.1,j.7.2
a.1.2,1,1,0.991423544,0.98749807,0.978810309,0.982910766,0.98672291,1,0.995893206,0.983606557,0.990479162,0.993883735,1,0.958591373,0.995893206,1,1,0.984731928,0.965546629,0.965392783,0.965392783,0.965057152,0.965057152,0.966293176,0.965057152,0.966470535,0.966502771,0.958802374,0.961398864,0.955040769,0.95857181,0.956595403,0.968558028,0.950724731,0.958231876,0.972121877,0.969705577,0.969171836,0.969705577,0.9301097,0.943031889,0.914184749,0.91835482,0.909653446,0.899349562,0.983606557,0.951003106,0.904285377,0.900747115,0.916019025,0.935499709,1,1,1,0.976062045,0.964578857,0.647923914,0.887443835,0.816517168,0.89538136,1,0.994309154,1,0.756205185,1,1,1,0.978645226,1,1,0.915095509,0.971285862,0.995045586,0.87811408,0.940732955,1,1,1,0.947656421,0.916157335,0.946585212,0,1,0.93806103,0.974049244,1,1
a.1.3,1,1,0.991423544,0.98749807,0.978810309,0.982910766,0.98672291,1,0.995893206,0.983606557,0.990479162,0.993883735,1,0.958591373,0.995893206,1,1,0.984731928,0.965546629,0.965392783,0.965392783,0.965057152,0.965057152,0.966293176,0.965057152,0.966470535,0.966502771,0.958802374,0.961398864,0.955040769,0.95857181,0.956595403,0.968558028,0.950724731,0.958231876,0.972121877,0.969705577,0.969171836,0.969705577,0.9301097,0.943031889,0.914184749,0.91835482,0.909653446,0.899349562,0.983606557,0.951003106,0.904285377,0.900747115,0.916019025,0.935499709,1,1,1,0.976062045,0.964578857,0.647923914,0.887443835,0.816517168,0.89538136,1,0.994309154,1,0.756205185,1,1,1,0.978645226,1,1,0.915095509,0.971285862,0.995045586,0.87811408,0.940732955,1,1,1,0.947656421,0.916157335,0.946585212,0,1,0.93806103,0.974049244,1,1
a.3.1,0.991423544,0.991423544,1,0.997640536,0.991664746,0.994369897,0.997143213,1,1,0.995893206,0.98809116,0.993883735,1,0.995893206,1,1,1,0.984731928,0.966834653,0.966551846,0.966551846,0.966389044,0.966389044,0.967281422,0.966389044,0.970398355,0.974527388,0.964451023,0.966509842,0.962317403,0.965374331,0.963595554,0.97625003,0.950030968,0.958102878,0.979760107,0.976310374,0.975915319,0.976310374,0.883897744,0.90252172,0.941406712,0.946543247,0.939736069,0.932499594,0.995893206,0.960300307,0.916771366,0.914767575,0.926799689,0.938073258,1,1,1,0.987518574,0.964578857,0.653446839,0.867173218,0.828919406,0.869801645,1,0.980580676,1,0.744161101,1,1,1,0.996011014,1,0.993883735,0.939102697,0.971285862,0.990147543,0.879111371,0.952383401,1,1,1,0.947656421,0.916157335,0.947656421,0,1,0.960029698,0.994134847,1,1
a.3.2,0.98749807,0.98749807,0.997640536,1,0.993827997,0.995802473,0.99930962,1,0.995893206,0.983606557,0.98809116,0.993883735,1,0.995893206,1,1,1,0.984731928,0.963735276,0.963466033,0.963466033,0.963263191,0.963263191,0.964233274,0.963263191,0.968068942,0.971555446,0.961643193,0.963873469,0.959471783,0.961873047,0.960351253,0.974077268,0.948130607,0.957146942,0.976047731,0.972474197,0.972003951,0.972474197,0.883897744,0.90252172,0.941406712,0.946543247,0.939736069,0.932499594,0.995893206,0.956955358,0.913653926,0.911287289,0.923452041,0.934622156,1,1,1,0.987518574,0.964578857,0.650681947,0.867173218,0.829800143,0.869801645,1,0.980580676,1,0.744161101,1,1,1,0.990504663,1,0.993883735,0.939102697,0.971285862,0.990147543,0.879111371,0.952383401,1,1,1,0.947656421,0.916157335,0.947656421,0,1,0.960029698,0.994134847,1,1
a.3.3,0.978810309,0.978810309,0.991664746,0.993827997,1,0.999761308,0.999763054,1,0.995893206,0.983606557,0.98809116,0.993883735,1,0.995893206,1,1,1,0.984731928,0.963238095,0.962968307,0.962968307,0.962756208,0.962756208,0.963744459,0.962756208,0.971413496,0.971099594,0.966269707,0.968575642,0.964071446,0.966592002,0.964985158,0.964569454,0.947420028,0.956539288,0.975436743,0.97182099,0.971677769,0.97182099,0.883897744,0.90252172,0.941406712,0.946543247,0.939736069,0.932499594,0.995893206,0.951676127,0.917257285,0.914650989,0.927333425,0.929868713,1,1,1,0.987518574,0.964578857,0.652044905,0.867173218,0.835989252,0.869801645,1,0.980580676,1,0.744161101,1,1,1,0.990504663,1,0.993883735,0.939102697,0.971285862,0.990147543,0.879111371,0.952383401,1,1,1,0.947656421,0.916157335,0.947656421,0,1,0.960029698,0.994134847,1,1
a.3.4,0.982910766,0.982910766,0.994369897,0.995802473,0.999761308,1,0.999757069,1,0.995893206,0.983606557,0.98809116,0.993883735,1,0.995910003,1,1,1,0.984731928,0.963222759,0.962956626,0.962956626,0.962726137,0.962726137,0.963761849,0.962726137,0.973401021,0.970840268,0.966111426,0.968501829,0.963864943,0.965762466,0.965314598,0.967624549,0.950813023,0.956218603,0.976743173,0.973044279,0.972916466,0.973044279,0.883897744,0.90252172,0.935203265,0.941406712,0.933300509,0.923716999,0.995893206,0.952235894,0.915817484,0.912906445,0.926165599,0.931419914,1,1,1,0.989498836,0.964578857,0.650336521,0.867173218,0.831445143,0.869801645,1,0.980580676,1,0.679162176,1,1,1,0.995859477,1,0.993883735,0.929745598,0.971285862,0.990147543,0.929745598,0.95769474,1,1,1,0.947656421,0.916157335,0.947656421,0,1,0.953678867,1,1,1
a.3.6,0.98672291,0.98672291,0.997143213,0.99930962,0.999763054,0.999757069,1,1,1,0.995893206,0.981100171,0.979804059,1,0.995893206,0.995893206,1,1,0.974126384,0.96275314,0.962974655,0.962425012,0.96275314,0.96275314,0.963760172,0.96275314,0.970395576,0.971182947,0.966241011,0.968666007,0.963974274,0.965160228,0.964452857,0.972057386,0.955614563,0.95545471,0.974397954,0.970647995,0.97047593,0.970647995,0.883199806,0.892375765,0.941406712,0.946543247,0.939736069,0.932499594,1,0.953801371,0.913712222,0.912511946,0.925014157,0.929746451,1,1,1,0.987518574,0.964578857,0.65575636,0.867173218,0.828936235,0.869801645,1,0.980580676,1,0.744161101,1,1,1,0.990504663,1,0.993883735,0.939102697,0.971285862,0.990147543,0.879111371,0.952383401,1,1,1,0.947656421,0.916157335,0.947656421,0,1,0.960029698,0.994134847,1,1
b.1.1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b.1.2,0.995893206,0.995893206,1,0.995893206,0.995893206,0.995893206,1,1,1,0.995893206,1,1,1,0,1,0,0,1,1,1,0.995893206,1,1,1,1,0.995893206,1,1,1,1,0.995893206,1,0.995893206,0.995893206,0.995893206,0.995893206,0.995893206,0.995893206,0.995893206,1,1,0,0,0,0,1,0.995893206,0.995893206,1,0.995893206,0.980580676,1,0,0,0,0,0.707106781,0,0.980580676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b.1.3,0.983606557,0.983606557,0.995893206,0.983606557,0.983606557,0.983606557,0.995893206,1,0.995893206,1,1,1,1,0,1,0,0,1,0.995893206,0.995893206,0.983606557,0.995893206,0.995893206,0.995893206,0.995893206,0.983606557,0.995893206,0.995893206,0.995893206,0.995893206,0.983606557,0.995893206,0.983606557,0.983606557,0.983606557,0.983606557,0.983606557,0.983606557,0.983606557,1,1,0,0,0,0,1,0.983606557,0.983606557,1,0.983606557,0.958798113,1,0,0,0,0,0.76822128,0,0.958798113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
