,a.1.2,a.1.3,a.3.1,a.3.2,a.3.3,a.3.4,a.3.6,b.1.1,b.1.2,b.1.3,b.1.4,b.1.5,b.1.7,b.3.1,b.3.2,b.3.3,b.3.4,b.6.1,c.2.10,c.2.2,c.2.3,c.2.4,c.2.7,c.2.8,c.2.9,c.3.1,c.3.2,c.4.1,c.4.2,c.4.3,c.4.4,c.5.1,d.1.1,d.1.2,d.4.1,d.5.1,d.5.2,d.5.3,d.5.4,e.1.1,e.1.2,f.2.1,f.4.1,f.6.1,f.6.2,g.1.1,g.1.2,g.2.1,g.2.2,g.2.3,g.3.2,g.4.1,g.4.2,g.4.3,g.4.4,g.4.5,h.2.1,h.2.2,h.2.3,h.2.4,i.1.1,i.1.3,i.1.4,i.2.3,i.2.5,i.3.1,i.3.2,i.3.3,i.3.4,i.3.5,i.3.6,j.1.1,j.2.1,j.2.2,j.2.3,j.3.3,j.3.4,j.4.1,j.5.1,j.5.4,j.5.5,j.6.1,j.6.2,j.6.3,j.6.4,j.7.1,j.7.2
a.1.2,1.0,1.0000000000000002,0.9922382898949549,0.9891488678699359,0.9667170573327587,0.9735914615403981,0.9897069363493348,0.0,0.0,0.0,0.9998000599927193,1.0,0.0,0.9958932064498934,0.0,0.0,1.0,0.0,0.9807977135299235,0.9807977135299235,0.9807977135299235,0.9807977135299235,0.9807977135299235,0.9807977135299235,0.9807977135299235,0.9680338565270291,0.9834204398750765,0.9553705357863244,0.9617346938795425,0.9447994374318177,0.9512945601817365,0.9613912964642269,0.9813871141147518,0.964123116559748,0.9638674759086341,0.9855867285628941,0.9790673960680155,0.9790673960680155,0.9790673960680155,0.9943252716190124,0.9943252716190124,0.9896907216061218,0.9853883346671014,0.9756420006267296,0.9836065573061005,0.0,0.9722340412649065,0.8708516552247288,0.8865477310395018,0.8712052883442165,0.9152299271756164,0.0,0.0,1.0,0.996337093989355,1.0,0.6348337587746575,0.9771398364342532,0.7642037944573133,0.9771398364342532,1.0,0.9943091539653507,0.9943091539653507,1.0,0.0,0.0,1.0,0.9660917830792958,1.0,1.0,1.0,0.966091783079296,0.9953834846720668,0.9943091539653507,0.9958932064498934,1.0,1.0,0.0,0.9486832980505138,1.0,0.9701425001881323,0.0,1.0,0.9958932064498935,1.0,1.0,1.0
a.1.3,1.0000000000000002,1.0,0.9922382898949549,0.9891488678699359,0.9667170573327587,0.9735914615403981,0.9897069363493348,0.0,0.0,0.0,0.9998000599927193,1.0,0.0,0.9958932064498934,0.0,0.0,1.0,0.0,0.9807977135299235,0.9807977135299235,0.9807977135299235,0.9807977135299235,0.9807977135299235,0.9807977135299235,0.9807977135299235,0.9680338565270291,0.9834204398750765,0.9553705357863244,0.9617346938795425,0.9447994374318177,0.9512945601817365,0.9613912964642269,0.9813871141147518,0.964123116559748,0.9638674759086341,0.9855867285628941,0.9790673960680155,0.9790673960680155,0.9790673960680155,0.9943252716190124,0.9943252716190124,0.9896907216061218,0.9853883346671014,0.9756420006267296,0.9836065573061005,0.0,0.9722340412649065,0.8708516552247288,0.8865477310395018,0.8712052883442165,0.9152299271756164,0.0,0.0,1.0,0.996337093989355,1.0,0.6348337587746575,0.9771398364342532,0.7642037944573133,0.9771398364342532,1.0,0.9943091539653507,0.9943091539653507,1.0,0.0,0.0,1.0,0.9660917830792958,1.0,1.0,1.0,0.966091783079296,0.9953834846720668,0.9943091539653507,0.9958932064498934,1.0,1.0,0.0,0.9486832980505138,1.0,0.9701425001881323,0.0,1.0,0.9958932064498935,1.0,1.0,1.0
a.3.1,0.9922382898949549,0.9922382898949549,1.0,0.9977393220038737,0.9832180261324334,0.9885271357676428,0.9976736387552729,0.0,0.0,0.0,0.9938837347221009,1.0,0.0,0.9999999999999999,0.0,0.0,1.0,0.0,0.9803410943127367,0.9803410943127367,0.9803410943127367,0.9803410943127367,0.9803410943127367,0.9803410943127367,0.9803410943127367,0.9753452105835755,0.985100424513309,0.9678584114594628,0.972853903292171,0.9581393945712401,0.9632427183804892,0.9682466103059938,0.975831078813503,0.9620082219093475,0.9587070827248513,0.9844774069305194,0.9754207536273924,0.9754207536273924,0.9754207536273924,0.9876583292665422,0.9876583292665422,0.9965576489784295,0.9961164901661305,0.9890484984653334,0.9958932064498934,0.0,0.9725286412259487,0.8755633049735104,0.8852153322551566,0.8754091921757574,0.9174507252703684,0.0,0.0,1.0,1.0,1.0,0.6406655099518135,0.966091783079296,0.7868850457414288,0.966091783079296,1.0,0.9805806757361775,0.9805806757361775,1.0,0.0,0.0,1.0,0.9965576489784295,1.0,1.0,0.9958932064498934,0.966091783079296,0.9869275424652881,0.9805806757361775,0.9999999999999998,1.0,1.0,0.0,0.9486832980505138,1.0,0.9486832980505138,0.0,1.0,0.9971764649410028,1.0,1.0,1.0
a.3.2,0.9891488678699359,0.9891488678699359,0.9977393220038737,1.0,0.9851667840934929,0.9905438619689221,1.0,0.0,0.0,0.0,0.9938837347221009,1.0,0.0,0.9999999999999999,0.0,0.0,1.0,0.0,0.9769468111020936,0.9769468111020936,0.9769468111020936,0.9769468111020936,0.9769468111020936,0.9769468111020936,0.9769468111020936,0.9720203046241331,0.9818847049523806,0.9642234937339186,0.969537490082137,0.9543109406693042,0.9597381354082246,0.9647238215847999,0.9771582349562214,0.9625780276835453,0.958994177839971,0.9817189973039633,0.9723610684594245,0.9723610684594245,0.9723610684594245,0.9876583292665422,0.9876583292665422,0.9965576489784295,0.9961164901661305,0.9890484984653334,0.9958932064498934,0.0,0.968642691965661,0.870978360628865,0.8802898551107184,0.8680351553629171,0.9190755255825643,0.0,0.0,1.0,1.0,1.0,0.6419516996733422,0.966091783079296,0.7920794933242026,0.966091783079296,1.0,0.9805806757361775,0.9805806757361775,1.0,0.0,0.0,1.0,0.9965576489784295,1.0,1.0,0.9958932064498934,0.966091783079296,0.9869275424652881,0.9805806757361775,0.9999999999999998,1.0,1.0,0.0,0.9486832980505138,1.0,0.9486832980505138,0.0,1.0,0.9971764649410028,1.0,1.0,1.0
a.3.3,0.9667170573327587,0.9667170573327587,0.9832180261324334,0.9851667840934929,1.0,0.9993937556253237,1.0,0.0,0.0,0.0,0.9938837347221009,1.0,0.0,0.9999999999999999,0.0,0.0,1.0,0.0,0.9769468111020936,0.9769468111020936,0.9769468111020936,0.9769468111020936,0.9769468111020936,0.9769468111020936,0.9769468111020936,0.9804188189202921,0.9818847049523806,0.9787413758789628,0.984135382694883,0.9686795739336856,0.974188483517878,0.9729639401605585,0.9534262623765112,0.9635007023713307,0.958994177839971,0.9817189973039633,0.9723610684594245,0.9723610684594245,0.9723610684594245,0.9876583292665422,0.9876583292665422,0.9965576489784295,0.9961164901661305,0.9890484984653334,0.9958932064498934,0.0,0.9573867148356472,0.8840922924845674,0.8941448117512634,0.8811047726925189,0.909370447988875,0.0,0.0,1.0,1.0,1.0,0.6523838371434538,0.966091783079296,0.8049513062126474,0.966091783079296,1.0,0.9805806757361775,0.9805806757361775,1.0,0.0,0.0,1.0,0.9965576489784295,1.0,1.0,0.9958932064498934,0.966091783079296,0.9869275424652881,0.9805806757361775,0.9999999999999998,1.0,1.0,0.0,0.9486832980505138,1.0,0.9486832980505138,0.0,1.0,0.9971764649410028,1.0,1.0,1.0
a.3.4,0.9735914615403981,0.9735914615403981,0.9885271357676428,0.9905438619689221,0.9993937556253237,1.0,1.0,0.0,0.0,0.0,0.9938837347221009,1.0,0.0,0.9999999999999999,0.0,0.0,1.0,0.0,0.9769468111020936,0.9769468111020936,0.9769468111020936,0.9769468111020936,0.9769468111020936,0.9769468111020936,0.9769468111020936,0.9810710415183085,0.9818847049523806,0.9781480194255734,0.9835387561552045,0.9680923173911246,0.9735978872298708,0.973630383519344,0.9605325131896544,0.965629026579459,0.958994177839971,0.9817189973039633,0.9723610684594245,0.9723610684594245,0.9723610684594245,0.9876583292665422,0.9876583292665422,0.9965576489784295,0.9961164901661305,0.9890484984653334,0.9958932064498934,0.0,0.9619712508521973,0.883556316505554,0.8935780004008393,0.8805706078805737,0.9135934879816276,0.0,0.0,1.0,1.0,1.0,0.651956744567518,0.966091783079296,0.8044243331221144,0.966091783079296,1.0,0.9805806757361775,0.9805806757361775,1.0,0.0,0.0,1.0,0.9965576489784295,1.0,1.0,0.9958932064498934,0.966091783079296,0.9869275424652881,0.9805806757361775,0.9999999999999998,1.0,1.0,0.0,0.9486832980505138,1.0,0.9486832980505138,0.0,1.0,0.9971764649410028,1.0,1.0,1.0
a.3.6,0.9897069363493348,0.9897069363493348,0.9976736387552729,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9938837347221009,1.0,0.0,0.9999999999999999,0.0,0.0,1.0,0.0,0.9769468111020936,0.9769468111020936,0.9769468111020936,0.9769468111020936,0.9769468111020936,0.9769468111020936,0.9769468111020936,0.9810478974726468,0.9818847049523806,0.9787413758789628,0.984135382694883,0.9686795739336856,0.974188483517878,0.9735979994942016,0.9775335396991368,0.9664382113230144,0.958994177839971,0.9817189973039633,0.9723610684594245,0.9723610684594245,0.9723610684594245,0.9876583292665422,0.9876583292665422,0.9965576489784295,0.9961164901661305,0.9890484984653334,0.9958932064498934,0.0,0.9680990674488817,0.8840922924845674,0.8941448117512633,0.8811047726925189,0.9178386431663857,0.0,0.0,1.0,1.0,1.0,0.6523838371434538,0.966091783079296,0.8049513062126474,0.966091783079296,1.0,0.9805806757361775,0.9805806757361775,1.0,0.0,0.0,1.0,0.9965576489784295,1.0,1.0,0.9958932064498934,0.966091783079296,0.9869275424652881,0.9805806757361775,0.9999999999999998,1.0,1.0,0.0,0.9486832980505138,1.0,0.9486832980505138,0.0,1.0,0.9971764649410028,1.0,1.0,1.0
b.1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b.1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b.1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
